### bench v4  load averages: 9.49 6.56 5.29
header: hdr/chainhash_v4.h; calibrated core frequency: 3.225 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      7.8      8.1 |      7.9      8.1 |     0.00 | 3.24
      1 |     11.1     11.4 |     70.9     71.3 |     0.29 | 3.20
      2 |     11.1     11.2 |     71.1     71.0 |     0.62 | 3.46
      3 |     10.8     11.2 |     71.6     71.4 |     0.96 | 3.47
      4 |     10.5     10.8 |     69.6     67.7 |     1.32 | 3.47
      5 |     10.6     11.0 |     69.3     69.0 |     1.60 | 3.40
      6 |     10.2     10.6 |     69.6     69.2 |     1.99 | 3.39
      7 |     10.6     10.7 |     69.0     68.9 |     2.27 | 3.45
      8 |     10.2     10.4 |     68.4     67.7 |     2.66 | 3.39
      9 |     10.6     10.3 |     67.3     67.4 |     2.95 | 3.47
     10 |     10.3     10.3 |     68.0     68.0 |     3.37 | 3.47
     11 |     10.0     10.1 |     67.1     67.2 |     3.67 | 3.33
     12 |     10.1     10.1 |     66.8     66.7 |     3.97 | 3.35
     13 |      9.6     10.1 |     67.1     66.6 |     4.49 | 3.32
     14 |      9.6     10.1 |     66.7     66.9 |     4.64 | 3.18
     15 |     10.1     10.0 |     66.4     67.2 |     4.84 | 3.25
     16 |     10.3     10.3 |     66.6     64.9 |     5.37 | 3.46
     17 |     13.3     13.7 |     67.8     68.5 |     4.42 | 3.46
     18 |     13.3     13.5 |     67.7     67.7 |     4.70 | 3.48
     19 |     13.3     13.6 |     67.6     67.5 |     4.95 | 3.47
     20 |     13.4     13.7 |     68.7     66.9 |     5.19 | 3.47
     21 |     13.6     13.7 |     66.9     67.5 |     5.34 | 3.46
     22 |     13.1     13.5 |     66.7     66.7 |     5.83 | 3.47
     23 |     13.2     13.3 |     66.8     66.4 |     6.09 | 3.49
     24 |     13.2     13.1 |     66.8     66.1 |     6.37 | 3.50
     25 |     13.1     13.2 |     66.9     66.8 |     6.65 | 3.48
     26 |     13.1     13.1 |     66.4     66.0 |     6.91 | 3.49
     27 |     13.2     13.2 |     66.1     66.4 |     7.15 | 3.50
     28 |     13.2     13.2 |     66.7     66.6 |     7.13 | 3.35
     29 |     13.2     13.2 |     66.8     66.6 |     7.37 | 3.35
     30 |     13.2     13.2 |     66.6     67.0 |     7.97 | 3.50
     31 |     13.2     13.2 |     66.8     66.7 |     8.23 | 3.50
     32 |     12.4     12.3 |     66.8     66.8 |     9.07 | 3.50
     47 |     15.3     15.2 |     68.6     68.6 |    10.75 | 3.50
     48 |     14.4     14.3 |     68.8     68.6 |    11.68 | 3.50
     63 |     17.6     17.4 |     70.5     70.4 |    12.56 | 3.50
     64 |     12.5     12.7 |     68.7     68.7 |    17.91 | 3.49
    100 |     19.3     19.3 |     74.8     74.8 |    18.13 | 3.50
    127 |     21.3     21.4 |     76.7     76.4 |    20.84 | 3.50
    128 |     16.7     16.7 |     70.5     70.4 |    26.82 | 3.50
    255 |     29.9     29.8 |     80.8     81.2 |    29.82 | 3.50
    256 |     24.7     25.0 |     74.6     74.5 |    36.24 | 3.50
    257 |     34.7     34.6 |     87.2     87.2 |    25.94 | 3.50
    511 |     54.2     54.7 |     87.2     87.2 |    33.01 | 3.50
    512 |     46.4     46.4 |     87.2     87.1 |    38.68 | 3.50
    513 |     51.4     52.7 |     99.4     99.4 |    33.47 | 3.36
   1024 |     75.3     75.7 |    110.0    109.1 |    45.36 | 3.34
   1025 |     79.8     79.4 |    120.7    120.4 |    44.89 | 3.49
   4096 |    249.1    247.2 |    266.6    265.5 |    57.58 | 3.50
  16384 |    916.9    902.2 |    924.6    919.8 |    62.12 | 3.48
   avg lat4 over 1..31 B: 67.77 (min-based)  67.56 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      7.9      7.9 |      8.0      7.9 |     0.00 | 3.45
      1 |     11.6     11.6 |     72.6     73.1 |     0.29 | 3.36
      2 |     11.6     11.6 |     73.2     72.9 |     0.58 | 3.36
      3 |     11.6     11.5 |     73.3     73.0 |     0.91 | 3.50
      4 |     10.9     10.9 |     71.5     71.6 |     1.28 | 3.50
      5 |     10.9     10.9 |     71.8     71.7 |     1.60 | 3.50
      6 |     10.9     10.9 |     71.8     71.5 |     1.92 | 3.50
      7 |     10.9     10.9 |     71.8     71.6 |     2.24 | 3.50
      8 |     10.7     10.7 |     70.1     70.0 |     2.63 | 3.50
      9 |     10.7     10.6 |     69.5     69.9 |     2.96 | 3.50
     10 |     10.7     10.6 |     69.9     69.7 |     3.29 | 3.50
     11 |     10.7     10.8 |     70.6     70.5 |     3.61 | 3.50
     12 |     10.8     10.7 |     69.4     68.7 |     3.78 | 3.41
     13 |     10.7     10.6 |     69.5     69.7 |     4.27 | 3.50
     14 |     10.7     10.7 |     69.6     69.6 |     4.59 | 3.50
     15 |     10.7     10.6 |     69.8     69.3 |     4.93 | 3.50
     16 |     10.5     10.4 |     67.4     67.3 |     5.33 | 3.50
     17 |     13.6     13.6 |     71.7     70.7 |     4.36 | 3.50
     18 |     14.1     14.2 |     70.8     70.7 |     4.44 | 3.48
     19 |     13.7     13.7 |     70.3     69.9 |     4.85 | 3.50
     20 |     13.5     13.7 |     69.6     69.4 |     4.86 | 3.29
     21 |     13.7     13.7 |     69.7     69.4 |     5.15 | 3.36
     22 |     13.6     13.6 |     69.7     68.9 |     5.41 | 3.36
     23 |     13.7     13.5 |     69.7     69.7 |     5.90 | 3.50
     24 |     13.7     13.6 |     69.6     69.3 |     6.16 | 3.50
     25 |     13.6     13.6 |     69.6     69.4 |     6.41 | 3.50
