### bench v5  load averages: 2.09 4.33 4.62
header: hdr/chainhash_v5.h; calibrated core frequency: 3.256 GHz; trials 21

== chainhash-256 <32,5,1> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      8.0 |      8.0      7.9 |     0.00 | 3.35
      1 |     11.0     11.0 |     70.3     70.2 |     0.30 | 3.34
      2 |     10.4     10.9 |     72.5     70.8 |     0.64 | 3.34
      3 |     10.7     10.8 |     70.2     70.2 |     0.97 | 3.46
      4 |     10.5     10.3 |     68.2     67.9 |     1.34 | 3.50
      5 |     10.5     10.3 |     68.4     67.5 |     1.67 | 3.50
      6 |     10.5     10.3 |     68.3     67.9 |     2.01 | 3.50
      7 |     10.5     10.3 |     68.4     67.9 |     2.34 | 3.50
      8 |     10.0     10.0 |     67.1     66.5 |     2.78 | 3.49
      9 |     10.1     10.0 |     66.9     66.6 |     3.13 | 3.50
     10 |      9.9     10.0 |     67.0     66.6 |     3.48 | 3.46
     11 |     10.1     10.0 |     67.0     66.7 |     3.82 | 3.50
     12 |     10.0     10.0 |     66.8     66.1 |     4.17 | 3.49
     13 |      9.9     10.0 |     66.8     66.1 |     4.35 | 3.31
     14 |     10.1     10.0 |     67.4     66.8 |     4.68 | 3.36
     15 |     10.1     10.1 |     66.7     66.8 |     4.99 | 3.35
     16 |     10.0     10.0 |     65.0     65.1 |     5.35 | 3.35
     17 |     13.3     13.4 |     67.5     67.4 |     4.27 | 3.34
     18 |     13.2     13.6 |     69.8     68.0 |     4.56 | 3.34
     19 |     13.6     13.4 |     69.4     67.7 |     4.82 | 3.46
     20 |     13.6     13.7 |     66.8     66.9 |     4.90 | 3.32
     21 |     13.2     13.2 |     66.7     67.0 |     5.32 | 3.34
     22 |     13.2     13.2 |     66.6     66.6 |     5.43 | 3.26
     23 |     13.2     13.3 |     66.8     66.6 |     5.85 | 3.36
     24 |     13.3     13.7 |     66.6     66.6 |     5.86 | 3.26
     25 |     14.0     14.0 |     67.6     67.1 |     5.91 | 3.31
     26 |     12.8     13.1 |     66.4     66.3 |     6.41 | 3.16
     27 |     13.2     13.1 |     66.4     66.5 |     6.85 | 3.36
     28 |     13.2     13.0 |     66.7     66.3 |     6.89 | 3.25
     29 |     13.6     13.2 |     67.3     66.5 |     6.99 | 3.26
     30 |     13.2     13.2 |     66.4     66.3 |     7.39 | 3.26
     31 |     13.2     13.1 |     66.9     66.6 |     7.64 | 3.25
     32 |     12.4     12.3 |     66.7     66.5 |     8.44 | 3.26
     47 |     15.1     15.2 |     68.0     67.9 |    10.31 | 3.30
     48 |     14.4     14.5 |     68.6     68.6 |    11.61 | 3.49
     63 |     17.8     17.4 |     70.0     69.6 |    11.79 | 3.32
     64 |     12.4     12.4 |     68.2     68.7 |    17.20 | 3.32
    100 |     19.3     19.3 |     75.6     75.4 |    17.34 | 3.35
    127 |     21.3     21.5 |     76.4     76.8 |    20.80 | 3.49
    128 |     16.6     16.7 |     70.4     70.8 |    25.83 | 3.35
    255 |     30.9     30.0 |     79.5     80.0 |    28.41 | 3.44
    256 |     24.6     25.0 |     74.6     74.5 |    36.41 | 3.50
    257 |     34.7     34.5 |     87.0     87.1 |    25.96 | 3.50
    511 |     54.7     54.6 |     87.1     86.7 |    31.31 | 3.35
    512 |     46.5     46.6 |     87.0     87.1 |    36.96 | 3.36
    513 |     51.5     51.5 |     98.4     98.2 |    33.46 | 3.36
   1024 |     74.4     74.3 |    109.5    109.4 |    46.01 | 3.34
   1025 |     79.7     79.4 |    120.6    120.2 |    43.06 | 3.35
   4096 |    247.1    248.1 |    266.2    264.2 |    55.23 | 3.33
  16384 |    923.7    914.8 |    944.7    940.1 |    62.14 | 3.50
   avg lat4 over 1..31 B: 67.57 (min-based)  67.16 (median)

== chainhash-1k <128,5,2> ==  cycles per call: tp (independent) | lat4 (SMHasher3-style serialization); min-based / median; GB/s from tp at the measured GHz
    len |   tp.min   tp.med |  lat.min  lat.med |     GB/s | GHz
      0 |      8.0      7.9 |      7.9      7.9 |     0.00 | 3.36
      1 |     11.6     11.5 |     73.2     72.6 |     0.29 | 3.36
      2 |     11.6     11.6 |     73.3     72.8 |     0.58 | 3.36
      3 |     11.6     11.4 |     73.2     73.0 |     0.87 | 3.36
      4 |     10.9     11.0 |     72.4     72.6 |     1.23 | 3.35
      5 |     11.3     11.6 |     71.9     72.1 |     1.42 | 3.21
      6 |     10.9     10.8 |     71.9     71.6 |     1.79 | 3.26
      7 |     11.1     11.0 |     72.1     71.3 |     2.04 | 3.24
      8 |     10.5     10.8 |     70.2     70.1 |     2.52 | 3.32
